# Sine sweep: each joint follows q = offset + A*sin(2*pi*t/T) * ramp(t).
# Units: radians. Generated by scripts/make_example_trajectories.py.
t,j1,j2,j3,j4,j5,j6
3.870,0.121991,0.157637,0.615884,0.467338,0.002845,0.974698
3.880,0.112679,0.168458,0.629956,0.433934,0.031805,0.905966
3.890,0.103351,0.179315,0.644061,0.400252,0.061148,0.835758
3.900,0.094006,0.190202,0.658193,0.366312,0.090843,0.764187
3.910,0.084647,0.201118,0.672348,0.332137,0.120858,0.691370
3.920,0.075274,0.212057,0.686522,0.297749,0.151161,0.617424
3.930,0.065890,0.223017,0.700709,0.263170,0.181719,0.542471
3.940,0.056496,0.233994,0.714905,0.228422,0.212501,0.466632
3.950,0.047094,0.244984,0.729106,0.193527,0.243472,0.390030
3.960,0.037684,0.255983,0.743305,0.158509,0.274599,0.312792
3.970,0.028268,0.266988,0.757499,0.123389,0.305849,0.235042
3.980,0.018848,0.277995,0.771683,0.088191,0.337189,0.156909
3.990,0.009425,0.289000,0.785851,0.052936,0.368584,0.078518
4.000,0.000000,0.300000,0.800000,0.017649,0.400000,0.000000
4.010,-0.009425,0.310990,0.814124,-0.017649,0.431404,-0.078518
4.020,-0.018848,0.321968,0.828219,-0.052934,0.462762,-0.156909
4.030,-0.028268,0.332928,0.842279,-0.088184,0.494040,-0.235042
4.040,-0.037684,0.343869,0.856300,-0.123376,0.525204,-0.312792
4.050,-0.047094,0.354785,0.870278,-0.158487,0.556220,-0.390030
4.060,-0.056496,0.365673,0.884206,-0.193494,0.587055,-0.466632
4.070,-0.065890,0.376529,0.898082,-0.228376,0.617676,-0.542471
4.080,-0.075274,0.387351,0.911899,-0.263109,0.648050,-0.617424
4.090,-0.084647,0.398133,0.925654,-0.297671,0.678143,-0.691370
4.100,-0.094006,0.408873,0.939341,-0.332040,0.707924,-0.764187
4.110,-0.103351,0.419566,0.952956,-0.366193,0.737360,-0.835758
4.120,-0.112679,0.430210,0.966494,-0.400109,0.766420,-0.905966
4.130,-0.121991,0.440800,0.979950,-0.433767,0.795072,-0.974698
4.140,-0.131284,0.451333,0.993320,-0.467143,0.823286,-1.041842
4.150,-0.140556,0.461806,1.006600,-0.500218,0.851031,-1.107290
4.160,-0.149807,0.472214,1.019784,-0.532970,0.878277,-1.170936
4.170,-0.159035,0.482554,1.032869,-0.565378,0.904996,-1.232678
4.180,-0.168238,0.492823,1.045849,-0.597421,0.931159,-1.292417
4.190,-0.177416,0.503017,1.058720,-0.629079,0.956737,-1.350058
4.200,-0.186566,0.513134,1.071479,-0.660332,0.981705,-1.405508
4.210,-0.195687,0.523168,1.084119,-0.691161,1.006034,-1.458680
4.220,-0.204779,0.533118,1.096638,-0.721545,1.029700,-1.509489
4.230,-0.213839,0.542979,1.109031,-0.751466,1.052677,-1.557856
4.240,-0.222866,0.552748,1.121293,-0.780904,1.074942,-1.603704
4.250,-0.231859,0.562423,1.133420,-0.809843,1.096470,-1.646963
4.260,-0.240817,0.571999,1.145409,-0.838262,1.117240,-1.687565
4.270,-0.249737,0.581474,1.157255,-0.866146,1.137230,-1.725448
4.280,-0.258620,0.590844,1.168954,-0.893476,1.156418,-1.760555
4.290,-0.267463,0.600107,1.180502,-0.920236,1.174786,-1.792832
4.300,-0.276264,0.609259,1.191895,-0.946409,1.192314,-1.822232
4.310,-0.285024,0.618297,1.203129,-0.971980,1.208985,-1.848712
4.320,-0.293740,0.627218,1.214201,-0.996933,1.224782,-1.872234
4.330,-0.302411,0.636019,1.225106,-1.021252,1.239688,-1.892765
4.340,-0.311036,0.644698,1.235841,-1.044924,1.253689,-1.910277
4.350,-0.319614,0.653251,1.246403,-1.067934,1.266771,-1.924747
4.360,-0.328143,0.661676,1.256788,-1.090269,1.278922,-1.936159
4.370,-0.336622,0.669970,1.266991,-1.111914,1.290130,-1.944500
4.380,-0.345049,0.678131,1.277011,-1.132859,1.300384,-1.949764
4.390,-0.353424,0.686154,1.286843,-1.153091,1.309675,-1.951948
4.400,-0.361746,0.694039,1.296484,-1.172597,1.317994,-1.951057
4.410,-0.370012,0.701783,1.305931,-1.191368,1.325334,-1.947098
4.420,-0.378223,0.709382,1.315180,-1.209393,1.331690,-1.940086
4.430,-0.386376,0.716835,1.324230,-1.226661,1.337055,-1.930041
4.440,-0.394470,0.724140,1.333076,-1.243164,1.341427,-1.916985
4.450,-0.402505,0.731293,1.341716,-1.258892,1.344803,-1.900950
4.460,-0.410478,0.738293,1.350147,-1.273838,1.347180,-1.881968
4.470,-0.418390,0.745137,1.358366,-1.287993,1.348559,-1.860079
4.480,-0.426239,0.751824,1.366371,-1.301351,1.348940,-1.835327
4.490,-0.434023,0.758352,1.374159,-1.313905,1.348324,-1.807760
4.500,-0.441742,0.764718,1.381727,-1.325649,1.346716,-1.777433
4.510,-0.449395,0.770920,1.389073,-1.336578,1.344118,-1.744403
4.520,-0.456979,0.776957,1.396194,-1.346686,1.340536,-1.708732
4.530,-0.464495,0.782827,1.403089,-1.355971,1.335976,-1.670487
4.540,-0.471942,0.788528,1.409755,-1.364428,1.330446,-1.629739
4.550,-0.479318,0.794059,1.416191,-1.372054,1.323954,-1.586563
4.560,-0.486622,0.799417,1.422393,-1.378848,1.316509,-1.541037
4.570,-0.493853,0.804602,1.428361,-1.384806,1.308122,-1.493245
4.580,-0.501010,0.809612,1.434092,-1.389928,1.298804,-1.443271
4.590,-0.508093,0.814445,1.439585,-1.394214,1.288569,-1.391207
4.600,-0.515099,0.819101,1.444838,-1.397664,1.277428,-1.337144
4.610,-0.522030,0.823577,1.449849,-1.400277,1.265398,-1.281178
4.620,-0.528882,0.827874,1.454618,-1.402056,1.252494,-1.223408
4.630,-0.535656,0.831989,1.459142,-1.403001,1.238731,-1.163936
4.640,-0.542351,0.835922,1.463421,-1.403116,1.224128,-1.102865
4.650,-0.548965,0.839672,1.467453,-1.402404,1.208702,-1.040303
4.660,-0.555498,0.843238,1.471237,-1.400867,1.192473,-0.976357
4.670,-0.561949,0.846619,1.474772,-1.398511,1.175461,-0.911139
4.680,-0.568317,0.849815,1.478058,-1.395339,1.157687,-0.844759
4.690,-0.574601,0.852824,1.481093,-1.391357,1.139171,-0.777333
4.700,-0.580801,0.855646,1.483878,-1.386572,1.119937,-0.708975
4.710,-0.586916,0.858281,1.486410,-1.380988,1.100007,-0.639801
4.720,-0.592944,0.860728,1.488690,-1.374613,1.079405,-0.569929
4.730,-0.598886,0.862988,1.490718,-1.367455,1.058156,-0.499476
4.740,-0.604740,0.865058,1.492492,-1.359522,1.036284,-0.428561
4.750,-0.610506,0.866940,1.494014,-1.350821,1.013816,-0.357302
4.760,-0.616183,0.868634,1.495282,-1.341363,0.990777,-0.285818
4.770,-0.621770,0.870138,1.496296,-1.331157,0.967195,-0.214228
4.780,-0.627267,0.871454,1.497058,-1.320211,0.943096,-0.142650
4.790,-0.632674,0.872581,1.497566,-1.308539,0.918508,-0.071202
4.800,-0.637988,0.873520,1.497822,-1.296149,0.893460,-0.000000
4.810,-0.643211,0.874270,1.497825,-1.283054,0.867980,0.070839
4.820,-0.648340,0.874832,1.497575,-1.269266,0.842097,0.141202
4.830,-0.653377,0.875206,1.497075,-1.254796,0.815839,0.210973
4.840,-0.658319,0.875393,1.496323,-1.239659,0.789238,0.280042
4.850,-0.663167,0.875394,1.495322,-1.223866,0.762322,0.348298
4.860,-0.667921,0.875208,1.494071,-1.207432,0.735121,0.415633
4.870,-0.672579,0.874836,1.492571,-1.190371,0.707666,0.481941
4.880,-0.677141,0.874280,1.490824,-1.172697,0.679987,0.547119
4.890,-0.681606,0.873540,1.488831,-1.154425,0.652115,0.611064
4.900,-0.685975,0.872617,1.486592,-1.135571,0.624079,0.673678
4.910,-0.690247,0.871512,1.484109,-1.116149,0.595910,0.734866
4.920,-0.694422,0.870225,1.481384,-1.096176,0.567640,0.794534
4.930,-0.698498,0.868759,1.478418,-1.075667,0.539297,0.852592
4.940,-0.702476,0.867113,1.475212,-1.054640,0.510913,0.908955
4.950,-0.706356,0.865290,1.471768,-1.033111,0.482518,0.963538
4.960,-0.710136,0.863290,1.468088,-1.011098,0.454142,1.016262
4.970,-0.713818,0.861115,1.464173,-0.988617,0.425815,1.067052
4.980,-0.717400,0.858766,1.460026,-0.965686,0.397566,1.115834
4.990,-0.720882,0.856245,1.455648,-0.942324,0.369425,1.162540
5.000,-0.724264,0.853553,1.451041,-0.918547,0.341421,1.207107
5.010,-0.727546,0.850692,1.446207,-0.894375,0.313583,1.249473
5.020,-0.730728,0.847664,1.441149,-0.869826,0.285939,1.289582
5.030,-0.733809,0.844469,1.435869,-0.844918,0.258517,1.327383
5.040,-0.736789,0.841110,1.430369,-0.819671,0.231345,1.362827
5.050,-0.739669,0.837589,1.424652,-0.794103,0.204449,1.395872
5.060,-0.742447,0.833908,1.418719,-0.768234,0.177857,1.426478
5.070,-0.745125,0.830068,1.412575,-0.742082,0.151594,1.454610
5.080,-0.747701,0.826071,1.406220,-0.715667,0.125687,1.480240
5.090,-0.750176,0.821920,1.399658,-0.689009,0.100159,1.503340
5.100,-0.752550,0.817616,1.392892,-0.662126,0.075036,1.523891
5.110,-0.754823,0.813163,1.385925,-0.635039,0.050341,1.541876
5.120,-0.756994,0.808561,1.378759,-0.607766,0.026097,1.557283
5.130,-0.759064,0.803813,1.371397,-0.580328,0.002326,1.570104
5.140,-0.761033,0.798922,1.363843,-0.552744,-0.020949,1.580337
5.150,-0.762901,0.793889,1.356099,-0.525034,-0.043708,1.587984
5.160,-0.764668,0.788718,1.348168,-0.497217,-0.065931,1.593049
5.170,-0.766334,0.783410,1.340055,-0.469313,-0.087597,1.595546
5.180,-0.767899,0.777969,1.331761,-0.441340,-0.108690,1.595487
5.190,-0.769363,0.772396,1.323291,-0.413319,-0.129190,1.592892
5.200,-0.770727,0.766694,1.314647,-0.385269,-0.149081,1.587785
5.210,-0.771991,0.760865,1.305834,-0.357210,-0.168347,1.580194
5.220,-0.773154,0.754913,1.296854,-0.329159,-0.186972,1.570150
5.230,-0.774218,0.748840,1.287711,-0.301136,-0.204942,1.557689
5.240,-0.775181,0.742648,1.278408,-0.273161,-0.222243,1.542852
5.250,-0.776046,0.736341,1.268950,-0.245251,-0.238863,1.525680
5.260,-0.776811,0.729921,1.259339,-0.217425,-0.254790,1.506223
5.270,-0.777477,0.723391,1.249580,-0.189701,-0.270013,1.484531
5.280,-0.778045,0.716754,1.239677,-0.162099,-0.284522,1.460658
5.290,-0.778514,0.710013,1.229632,-0.134634,-0.298308,1.434662
5.300,-0.778886,0.703169,1.219450,-0.107326,-0.311364,1.406605
5.310,-0.779160,0.696228,1.209134,-0.080191,-0.323681,1.376551
5.320,-0.779337,0.689190,1.198689,-0.053248,-0.335255,1.344566
5.330,-0.779418,0.682060,1.188118,-0.026512,-0.346078,1.310721
5.340,-0.779402,0.674840,1.177425,0.000000,-0.356148,1.275088
5.350,-0.779290,0.667534,1.166615,0.026271,-0.365461,1.237743
5.360,-0.779082,0.660143,1.155690,0.052285,-0.374015,1.198764
5.370,-0.778780,0.652672,1.144656,0.078026,-0.381807,1.158230
5.380,-0.778384,0.645123,1.133515,0.103479,-0.388837,1.116223
5.390,-0.777893,0.637500,1.122273,0.128629,-0.395106,1.072826
5.400,-0.777309,0.629805,1.110933,0.153461,-0.400615,1.028127
5.410,-0.776632,0.622041,1.099498,0.177961,-0.405366,0.982210
5.420,-0.775863,0.614212,1.087974,0.202114,-0.409363,0.935166
5.430,-0.775002,0.606321,1.076365,0.225906,-0.412608,0.887083
5.440,-0.774050,0.598371,1.064674,0.249325,-0.415107,0.838052
5.450,-0.773008,0.590364,1.052905,0.272358,-0.416865,0.788165
5.460,-0.771875,0.582305,1.041062,0.294991,-0.417889,0.737514
5.470,-0.770654,0.574195,1.029151,0.317213,-0.418187,0.686192
5.480,-0.769343,0.566039,1.017174,0.339012,-0.417766,0.634292
5.490,-0.767945,0.557839,1.005136,0.360377,-0.416635,0.581907
5.500,-0.766460,0.549599,0.993041,0.381296,-0.414805,0.529130
5.510,-0.764888,0.541322,0.980892,0.401759,-0.412285,0.476055
5.520,-0.763230,0.533010,0.968695,0.421757,-0.409088,0.422774
5.530,-0.761487,0.524667,0.956454,0.441279,-0.405224,0.369379
5.540,-0.759660,0.516295,0.944171,0.460316,-0.400706,0.315962
5.550,-0.757749,0.507899,0.931852,0.478860,-0.395549,0.262614
5.560,-0.755756,0.499481,0.919500,0.496902,-0.389765,0.209425
5.570,-0.753680,0.491044,0.907119,0.514435,-0.383370,0.156482
5.580,-0.751523,0.482591,0.894714,0.531451,-0.376379,0.103873
5.590,-0.749286,0.474125,0.882289,0.547943,-0.368807,0.051685
5.600,-0.746969,0.465650,0.869846,0.563904,-0.360671,0.000000
5.610,-0.744574,0.457168,0.857391,0.579330,-0.351988,-0.051098
5.620,-0.742101,0.448682,0.844927,0.594213,-0.342776,-0.101529
5.630,-0.739551,0.440195,0.832459,0.608550,-0.333052,-0.151215
5.640,-0.736924,0.431710,0.819989,0.622335,-0.322835,-0.200078
5.650,-0.734223,0.423230,0.807523,0.635564,-0.312143,-0.248046
5.660,-0.731447,0.414758,0.795063,0.648235,-0.300996,-0.295045
5.670,-0.728598,0.406297,0.782614,0.660343,-0.289413,-0.341008
5.680,-0.725676,0.397850,0.770178,0.671886,-0.277414,-0.385866
5.690,-0.722683,0.389419,0.757761,0.682861,-0.265020,-0.429557
5.700,-0.719619,0.381007,0.745366,0.693268,-0.252250,-0.472019
5.710,-0.716486,0.372617,0.732996,0.703103,-0.239126,-0.513194
5.720,-0.713284,0.364253,0.720654,0.712368,-0.225669,-0.553025
5.730,-0.710014,0.355915,0.708346,0.721061,-0.211900,-0.591462
5.740,-0.706678,0.347608,0.696073,0.729182,-0.197840,-0.628455
5.750,-0.703276,0.339333,0.683840,0.736732,-0.183510,-0.663957
5.760,-0.699810,0.331094,0.671649,0.743712,-0.168933,-0.697925
5.770,-0.696280,0.322892,0.659505,0.750123,-0.154130,-0.730321
5.780,-0.692687,0.314731,0.647411,0.755967,-0.139122,-0.761107
5.790,-0.689033,0.306613,0.635370,0.761246,-0.123932,-0.790251
5.800,-0.685318,0.298540,0.623385,0.765963,-0.108581,-0.817723
5.810,-0.681544,0.290515,0.611459,0.770121,-0.093090,-0.843496
5.820,-0.677712,0.282541,0.599596,0.773724,-0.077482,-0.867548
5.830,-0.673822,0.274618,0.587799,0.776775,-0.061779,-0.889859
5.840,-0.669876,0.266751,0.576070,0.779278,-0.046000,-0.910414
5.850,-0.665875,0.258940,0.564413,0.781240,-0.030168,-0.929198
5.860,-0.661820,0.251189,0.552830,0.782664,-0.014304,-0.946204
5.870,-0.657711,0.243498,0.541325,0.783556,0.001571,-0.961425
5.880,-0.653552,0.235872,0.529900,0.783922,0.017438,-0.974858
5.890,-0.649341,0.228310,0.518558,0.783768,0.033274,-0.986504
5.900,-0.645081,0.220817,0.507302,0.783101,0.049061,-0.996366
5.910,-0.640772,0.213392,0.496134,0.781927,0.064778,-1.004453
5.920,-0.636416,0.206040,0.485058,0.780255,0.080405,-1.010774
5.930,-0.632014,0.198760,0.474074,0.778091,0.095925,-1.015342
5.940,-0.627566,0.191555,0.463186,0.775443,0.111317,-1.018175
5.950,-0.623075,0.184428,0.452397,0.772320,0.126564,-1.019291
5.960,-0.618541,0.177379,0.441708,0.768730,0.141647,-1.018712
5.970,-0.613965,0.170410,0.431121,0.764683,0.156549,-1.016465
5.980,-0.609349,0.163523,0.420640,0.760186,0.171253,-1.012576
5.990,-0.604694,0.156719,0.410265,0.755250,0.185742,-1.007077
6.000,-0.600000,0.150000,0.400000,0.749883,0.200000,-1.000000
6.010,-0.595269,0.143368,0.389846,0.744097,0.214011,-0.991381
6.020,-0.590503,0.136823,0.379804,0.737900,0.227761,-0.981258
6.030,-0.585702,0.130367,0.369878,0.731304,0.241234,-0.969672
6.040,-0.580867,0.124002,0.360067,0.724318,0.254416,-0.956664
6.050,-0.576000,0.117728,0.350376,0.716954,0.267294,-0.942280
6.060,-0.571101,0.111548,0.340804,0.709223,0.279856,-0.926565
6.070,-0.566173,0.105461,0.331353,0.701135,0.292088,-0.909568
6.080,-0.561216,0.099469,0.322025,0.692702,0.303979,-0.891339
6.090,-0.556231,0.093574,0.312822,0.683935,0.315518,-0.871930
6.100,-0.551220,0.087775,0.303744,0.674846,0.326694,-0.851393
6.110,-0.546183,0.082074,0.294793,0.665446,0.337497,-0.829783
6.120,-0.541123,0.076472,0.285970,0.655748,0.347919,-0.807155
6.130,-0.536039,0.070970,0.277277,0.645763,0.357950,-0.783567
6.140,-0.530934,0.065568,0.268714,0.635504,0.367581,-0.759076
6.150,-0.525807,0.060267,0.260282,0.624981,0.376807,-0.733741
6.160,-0.520662,0.055068,0.251982,0.614209,0.385620,-0.707620
6.170,-0.515498,0.049971,0.243816,0.603198,0.394014,-0.680774
6.180,-0.510317,0.044976,0.235783,0.591962,0.401984,-0.653264
6.190,-0.505120,0.040086,0.227885,0.580512,0.409524,-0.625149
6.200,-0.499908,0.035298,0.220122,0.568861,0.416631,-0.596491
6.210,-0.494682,0.030615,0.212495,0.557022,0.423301,-0.567351
6.220,-0.489444,0.026036,0.205004,0.545006,0.429530,-0.537789
6.230,-0.484195,0.021562,0.197650,0.532826,0.435318,-0.507867
6.240,-0.478935,0.017192,0.190432,0.520495,0.440662,-0.477645
6.250,-0.473666,0.012927,0.183352,0.508024,0.445560,-0.447184
6.260,-0.468389,0.008768,0.176410,0.495427,0.450014,-0.416542
6.270,-0.463106,0.004713,0.169605,0.482715,0.454023,-0.385780
6.280,-0.457816,0.000764,0.162938,0.469901,0.457587,-0.354956
6.290,-0.452522,-0.003080,0.156409,0.456996,0.460708,-0.324126
6.300,-0.447225,-0.006820,0.150018,0.444013,0.463389,-0.293348
6.310,-0.441925,-0.010455,0.143764,0.430964,0.465631,-0.262677
6.320,-0.436624,-0.013985,0.137648,0.417861,0.467438,-0.232168
6.330,-0.431322,-0.017411,0.131669,0.404714,0.468814,-0.201873
6.340,-0.426022,-0.020733,0.125827,0.391537,0.469762,-0.171845
6.350,-0.420724,-0.023951,0.120122,0.378340,0.470288,-0.142135
6.360,-0.415428,-0.027066,0.114552,0.365134,0.470396,-0.112791
6.370,-0.410137,-0.030079,0.109119,0.351932,0.470093,-0.083860
6.380,-0.404851,-0.032989,0.103820,0.338743,0.469384,-0.055389
6.390,-0.399571,-0.035797,0.098656,0.325579,0.468277,-0.027421
6.400,-0.394298,-0.038505,0.093626,0.312451,0.466779,-0.000000
6.410,-0.389034,-0.041112,0.088729,0.299368,0.464896,0.026835
6.420,-0.383779,-0.043619,0.083964,0.286342,0.462638,0.053045
6.430,-0.378535,-0.046027,0.079331,0.273382,0.460012,0.078593
6.440,-0.373301,-0.048337,0.074828,0.260498,0.457027,0.103444
6.450,-0.368080,-0.050550,0.070455,0.247700,0.453693,0.127566
6.460,-0.362873,-0.052665,0.066210,0.234998,0.450019,0.150928
6.470,-0.357680,-0.054685,0.062094,0.222400,0.446014,0.173502
6.480,-0.352502,-0.056611,0.058103,0.209916,0.441689,0.195260
6.490,-0.347340,-0.058442,0.054238,0.197554,0.437055,0.216179
6.500,-0.342196,-0.060181,0.050498,0.185323,0.432122,0.236237
6.510,-0.337069,-0.061827,0.046880,0.173232,0.426900,0.255413
6.520,-0.331962,-0.063383,0.043384,0.161287,0.421402,0.273689
6.530,-0.326875,-0.064850,0.040008,0.149497,0.415638,0.291050
6.540,-0.321809,-0.066228,0.036751,0.137870,0.409620,0.307483
6.550,-0.316764,-0.067518,0.033612,0.126412,0.403360,0.322975
6.560,-0.311742,-0.068723,0.030588,0.115131,0.396869,0.337518
6.570,-0.306744,-0.069842,0.027679,0.104033,0.390160,0.351105
6.580,-0.301770,-0.070878,0.024884,0.093125,0.383245,0.363730
6.590,-0.296821,-0.071832,0.022199,0.082412,0.376136,0.375391
6.600,-0.291899,-0.072704,0.019625,0.071901,0.368845,0.386087
6.610,-0.287003,-0.073497,0.017159,0.061597,0.361385,0.395819
6.620,-0.282135,-0.074212,0.014799,0.051505,0.353767,0.404589
6.630,-0.277296,-0.074850,0.012544,0.041630,0.346005,0.412404
6.640,-0.272486,-0.075412,0.010392,0.031977,0.338111,0.419270
6.650,-0.267706,-0.075901,0.008342,0.022551,0.330097,0.425196
6.660,-0.262956,-0.076317,0.006391,0.013355,0.321975,0.430192
6.670,-0.258239,-0.076662,0.004537,0.004392,0.313757,0.434271
6.680,-0.253553,-0.076937,0.002780,-0.004332,0.305457,0.437447
6.690,-0.248901,-0.077144,0.001116,-0.012816,0.297085,0.439736
6.700,-0.244282,-0.077285,-0.000455,-0.021057,0.288654,0.441154
6.710,-0.239698,-0.077360,-0.001936,-0.029051,0.280175,0.441720
6.720,-0.235149,-0.077373,-0.003329,-0.036797,0.271660,0.441455
6.730,-0.230635,-0.077323,-0.004636,-0.044292,0.263122,0.440380
6.740,-0.226158,-0.077214,-0.005858,-0.051535,0.254570,0.438517
6.750,-0.221718,-0.077045,-0.006998,-0.058524,0.246016,0.435890
6.760,-0.217315,-0.076820,-0.008057,-0.065259,0.237471,0.432525
6.770,-0.212951,-0.076539,-0.009039,-0.071738,0.228945,0.428448
6.780,-0.208626,-0.076205,-0.009943,-0.077960,0.220450,0.423685
6.790,-0.204339,-0.075819,-0.010774,-0.083927,0.211995,0.418264
6.800,-0.200093,-0.075382,-0.011532,-0.089636,0.203590,0.412215
6.810,-0.195887,-0.074896,-0.012220,-0.095089,0.195245,0.405566
6.820,-0.191723,-0.074363,-0.012839,-0.100286,0.186969,0.398348
6.830,-0.187599,-0.073784,-0.013393,-0.105228,0.178771,0.390591
6.840,-0.183518,-0.073162,-0.013882,-0.109916,0.170660,0.382327
6.850,-0.179479,-0.072498,-0.014309,-0.114351,0.162645,0.373587
6.860,-0.175483,-0.071793,-0.014676,-0.118535,0.154733,0.364403
6.870,-0.171531,-0.071049,-0.014986,-0.122469,0.146933,0.354806
6.880,-0.167622,-0.070267,-0.015239,-0.126155,0.139252,0.344830
6.890,-0.163757,-0.069451,-0.015438,-0.129596,0.131696,0.334507
6.900,-0.159937,-0.068600,-0.015585,-0.132794,0.124274,0.323868
6.910,-0.156162,-0.067717,-0.015683,-0.135752,0.116990,0.312946
6.920,-0.152432,-0.066803,-0.015733,-0.138472,0.109852,0.301773
6.930,-0.148748,-0.065860,-0.015736,-0.140958,0.102864,0.290382
6.940,-0.145110,-0.064890,-0.015696,-0.143213,0.096033,0.278803
6.950,-0.141518,-0.063893,-0.015614,-0.145241,0.089363,0.267067
6.960,-0.137973,-0.062873,-0.015493,-0.147044,0.082859,0.255207
6.970,-0.134475,-0.061829,-0.015333,-0.148628,0.076525,0.243251
6.980,-0.131024,-0.060765,-0.015137,-0.149995,0.070364,0.231230
6.990,-0.127620,-0.059681,-0.014907,-0.151151,0.064381,0.219172
7.000,-0.124264,-0.058579,-0.014645,-0.152099,0.058579,0.207107
7.010,-0.120956,-0.057460,-0.014352,-0.152844,0.052959,0.195061
7.020,-0.117696,-0.056326,-0.014031,-0.153391,0.047525,0.183062
7.030,-0.114484,-0.055179,-0.013683,-0.153744,0.042279,0.171136
7.040,-0.111320,-0.054019,-0.013311,-0.153908,0.037222,0.159308
7.050,-0.108205,-0.052849,-0.012915,-0.153889,0.032355,0.147603
7.060,-0.105139,-0.051669,-0.012498,-0.153691,0.027680,0.136042
7.070,-0.102121,-0.050482,-0.012062,-0.153320,0.023196,0.124650
7.080,-0.099153,-0.049288,-0.011608,-0.152781,0.018905,0.113447
7.090,-0.096233,-0.048089,-0.011137,-0.152080,0.014807,0.102454
7.100,-0.093362,-0.046886,-0.010652,-0.151221,0.010899,0.091689
7.110,-0.090541,-0.045681,-0.010154,-0.150212,0.007183,0.081170
7.120,-0.087768,-0.044475,-0.009645,-0.149056,0.003657,0.070915
7.130,-0.085045,-0.043268,-0.009126,-0.147760,0.000320,0.060940
7.140,-0.082371,-0.042063,-0.008599,-0.146331,-0.002830,0.051258
7.150,-0.079745,-0.040861,-0.008065,-0.144772,-0.005795,0.041883
7.160,-0.077169,-0.039662,-0.007526,-0.143091,-0.008578,0.032827
7.170,-0.074642,-0.038467,-0.006982,-0.141294,-0.011180,0.024102
7.180,-0.072164,-0.037279,-0.006437,-0.139385,-0.013604,0.015717
7.190,-0.069735,-0.036098,-0.005890,-0.137371,-0.015854,0.007680
7.200,-0.067354,-0.034925,-0.005343,-0.135259,-0.017932,0.000000
7.210,-0.065022,-0.033761,-0.004797,-0.133053,-0.019842,-0.007318
7.220,-0.062739,-0.032607,-0.004255,-0.130760,-0.021588,-0.014268
7.230,-0.060504,-0.031465,-0.003716,-0.128385,-0.023173,-0.020846
7.240,-0.058317,-0.030334,-0.003182,-0.125935,-0.024602,-0.027051
7.250,-0.056178,-0.029216,-0.002654,-0.123415,-0.025878,-0.032879
7.260,-0.054087,-0.028112,-0.002133,-0.120831,-0.027007,-0.038330
7.270,-0.052044,-0.027023,-0.001620,-0.118189,-0.027993,-0.043405
7.280,-0.050048,-0.025949,-0.001117,-0.115494,-0.028839,-0.048105
7.290,-0.048099,-0.024891,-0.000623,-0.112751,-0.029552,-0.052433
7.300,-0.046197,-0.023851,-0.000140,-0.109968,-0.030136,-0.056392
7.310,-0.044342,-0.022827,0.000330,-0.107148,-0.030597,-0.059987
7.320,-0.042533,-0.021823,0.000788,-0.104297,-0.030938,-0.063222
7.330,-0.040770,-0.020837,0.001233,-0.101421,-0.031166,-0.066104
7.340,-0.039053,-0.019871,0.001664,-0.098525,-0.031286,-0.068640
7.350,-0.037381,-0.018925,0.002080,-0.095613,-0.031303,-0.070837
7.360,-0.035754,-0.017999,0.002480,-0.092691,-0.031222,-0.072705
7.370,-0.034172,-0.017095,0.002865,-0.089764,-0.031049,-0.074252
7.380,-0.032634,-0.016212,0.003233,-0.086837,-0.030789,-0.075488
7.390,-0.031140,-0.015351,0.003584,-0.083913,-0.030448,-0.076424
7.400,-0.029689,-0.014513,0.003917,-0.080998,-0.030031,-0.077070
7.410,-0.028282,-0.013698,0.004233,-0.078096,-0.029543,-0.077438
7.420,-0.026917,-0.012905,0.004531,-0.075211,-0.028990,-0.077540
7.430,-0.025594,-0.012136,0.004810,-0.072347,-0.028377,-0.077389
7.440,-0.024314,-0.011390,0.005070,-0.069509,-0.027709,-0.076997
7.450,-0.023074,-0.010668,0.005311,-0.066700,-0.026992,-0.076376
7.460,-0.021875,-0.009971,0.005533,-0.063924,-0.026230,-0.075541
7.470,-0.020717,-0.009297,0.005735,-0.061183,-0.025428,-0.074505
7.480,-0.019598,-0.008647,0.005919,-0.058483,-0.024592,-0.073281
7.490,-0.018519,-0.008022,0.006082,-0.055825,-0.023727,-0.071884
7.500,-0.017478,-0.007421,0.006227,-0.053214,-0.022836,-0.070326
7.510,-0.016476,-0.006844,0.006352,-0.050651,-0.021925,-0.068623
7.520,-0.015511,-0.006291,0.006457,-0.048139,-0.020998,-0.066787
7.530,-0.014583,-0.005763,0.006544,-0.045682,-0.020059,-0.064832
7.540,-0.013691,-0.005259,0.006611,-0.043281,-0.019112,-0.062772
7.550,-0.012836,-0.004778,0.006660,-0.040939,-0.018162,-0.060621
7.560,-0.012016,-0.004322,0.006690,-0.038657,-0.017212,-0.058391
7.570,-0.011230,-0.003888,0.006702,-0.036438,-0.016266,-0.056096
7.580,-0.010478,-0.003478,0.006696,-0.034283,-0.015327,-0.053748
7.590,-0.009760,-0.003092,0.006672,-0.032194,-0.014399,-0.051360
7.600,-0.009075,-0.002727,0.006632,-0.030172,-0.013485,-0.048943
7.610,-0.008421,-0.002386,0.006574,-0.028218,-0.012588,-0.046510
7.620,-0.007799,-0.002066,0.006501,-0.026333,-0.011710,-0.044071
